"","Year","Station","PRCP","Date","avr_prcp","diff_mean_prcp","diff_mean_prcp_pct"
"1",2007,688160,24.94,2007-01-01,17.6172727272727,7.32272727272727,0.415656122606946
"2",2008,688160,21.62,2008-01-01,17.6172727272727,4.00272727272727,0.227204706125187
"3",2009,688160,22.64,2009-01-01,17.6172727272727,5.02272727272727,0.285102430465968
"4",2010,688160,14.23,2010-01-01,17.6172727272727,-3.38727272727273,-0.192269982971258
"5",2011,688160,14.7,2011-01-01,17.6172727272727,-2.91727272727273,-0.165591619794623
"6",2012,688160,15.61,2012-01-01,17.6172727272727,-2.00727272727273,-0.113937767686671
"7",2013,688160,26.79,2013-01-01,17.6172727272727,9.17272727272727,0.520666701068166
"8",2014,688160,26,2014-01-01,17.6172727272727,8.38272727272727,0.475824345941483
"9",2015,688160,12.64,2015-01-01,17.6172727272727,-4.97727272727273,-0.282522317973064
"10",2016,688160,8.64,2016-01-01,17.6172727272727,-8.97727272727273,-0.509572217348676
"11",2017,688160,5.98,2017-01-02,17.6172727272727,-11.6372727272727,-0.660560400433459
